City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cesme,38.3228,26.3064,51.51,87,0,0.0,TR,1682313856
1,busselton,-33.65,115.3333,59.85,58,49,17.36,AU,1682313805
2,wuzhou,23.4833,111.3167,68.4,82,99,7.47,CN,1682313856
3,trairi,-3.2778,-39.2689,73.9,90,64,6.71,BR,1682313857
4,fairview,40.8126,-73.999,51.24,68,20,16.11,US,1682313857
5,rikitea,-23.1203,-134.9692,79.74,87,100,15.79,PF,1682313857
6,the valley,18.217,-63.0578,78.66,75,11,6.33,AI,1682313857
7,longyearbyen,78.2186,15.6401,13.84,85,0,8.05,SJ,1682313654
8,tuktoyaktuk,69.4541,-133.0374,-5.8,84,75,4.61,CA,1682313858
9,nishihara,26.1842,127.7558,78.46,65,40,10.36,JP,1682313820
10,raudeberg,61.9875,5.1352,38.07,70,100,36.08,NO,1682313858
11,hermanus,-34.4187,19.2345,64.8,93,100,9.64,ZA,1682313858
12,nikolskoye,59.7035,30.7861,57.09,62,21,9.17,RU,1682313859
13,fort abbas,29.1925,72.8536,90.54,14,0,9.57,PK,1682313859
14,ribeira grande,38.5167,-28.7,62.78,92,100,15.01,PT,1682313859
15,hilo,19.7297,-155.09,76.28,85,100,5.75,US,1682313859
16,inuvik,68.3499,-133.7218,-4.94,84,20,8.05,CA,1682313678
17,vaini,-21.2,-175.2,78.96,78,40,6.91,TO,1682313860
18,vire,48.9167,-0.8333,45.79,97,45,5.66,FR,1682313861
19,nioro,13.35,-15.75,77.05,31,5,6.98,GM,1682313861
20,portland,45.5234,-122.6762,50.67,81,100,8.99,US,1682313861
21,ilulissat,69.2167,-51.1,32.02,100,100,3.44,GL,1682313862
22,albany,42.6001,-73.9662,42.04,83,99,8.99,US,1682313862
23,ushuaia,-54.8,-68.3,44.26,61,100,3.44,AR,1682313862
24,narsaq,60.9167,-46.05,32.22,75,87,2.39,GL,1682313862
25,cape town,-33.9258,18.4232,65.12,97,100,16.11,ZA,1682313810
26,kargasok,59.0556,80.8572,40.73,94,100,11.05,RU,1682313863
27,los llanos de aridane,28.6585,-17.9182,60.55,85,100,9.22,ES,1682313864
28,puerto ayora,-0.7393,-90.3518,77.56,93,44,1.01,EC,1682313864
29,kodiak,57.79,-152.4072,33.31,51,100,14.97,US,1682313865
30,karagay,58.2667,54.9368,47.37,60,100,3.94,RU,1682313865
31,provideniya,64.3833,-173.3,21.31,68,0,17.9,RU,1682313865
32,kolchugino,56.3,39.3833,55.49,56,16,5.59,RU,1682313865
33,bilibino,68.0546,166.4372,32.85,75,1,5.57,RU,1682313865
34,coihaique,-45.5752,-72.0662,48.81,96,74,5.17,CL,1682313866
35,fairbanks,64.8378,-147.7164,17.94,55,100,18.41,US,1682313866
36,port hueneme,34.1478,-119.1951,62.96,90,0,5.75,US,1682313866
37,tukrah,32.5341,20.5791,63.7,76,77,10.18,LY,1682313638
38,kununurra,-15.7667,128.7333,91.38,35,2,5.75,AU,1682313866
39,castro,-24.7911,-50.0119,54.03,98,36,4.72,BR,1682313867
40,koungou,-12.7336,45.2042,85.71,79,91,0.0,YT,1682313867
41,lavrentiya,65.5833,-171.0,14.13,82,0,6.85,RU,1682313867
42,sharjah,25.3573,55.4033,84.49,20,0,4.61,AE,1682313750
43,carnarvon,-24.8667,113.6333,73.76,64,100,17.83,AU,1682313868
44,port alfred,-33.5906,26.891,71.46,60,100,7.25,ZA,1682313868
45,nouakchott,18.0858,-15.9785,67.93,78,2,10.18,MR,1682313869
46,swan hill,-35.3378,143.5544,78.04,36,0,9.33,AU,1682313869
47,dikson,73.5069,80.5464,33.67,87,97,13.18,RU,1682313869
48,esperance,-33.8667,121.9,76.51,44,81,17.81,AU,1682313869
49,pevek,69.7008,170.3133,30.87,79,1,1.68,RU,1682313869
50,ipixuna,-1.7625,-48.8043,72.59,97,100,1.95,BR,1682313870
51,college,64.8569,-147.8028,17.92,55,100,18.41,US,1682313870
52,novobelokatay,55.7062,58.9549,51.64,64,86,4.94,RU,1682313870
53,atuona,-9.8,-139.0333,81.43,77,9,12.86,PF,1682313871
54,egvekinot,66.3167,-179.1667,14.99,77,0,7.54,RU,1682313872
55,yining,29.0361,114.5636,51.96,92,100,2.01,CN,1682313872
56,borodino,55.9106,94.8983,51.12,30,96,7.83,RU,1682313872
57,mataura,-46.1927,168.8643,52.48,76,62,8.61,NZ,1682313873
58,georgetown,5.4112,100.3354,91.33,74,20,8.05,MY,1682313833
59,zalesovo,53.9939,84.7431,53.38,59,96,14.7,RU,1682313873
60,port-gentil,-0.7193,8.7815,81.0,80,100,4.32,GA,1682313873
61,balaipungut,1.05,101.2833,88.72,64,99,2.82,ID,1682313874
62,cam ranh,11.9214,109.1591,89.56,62,20,10.36,VN,1682313663
63,chuy,-33.6971,-53.4616,62.8,95,53,5.32,UY,1682313875
64,avarua,-21.2078,-159.775,73.45,73,57,4.61,CK,1682313875
65,beian,63.6559,9.5683,35.69,75,75,16.11,NO,1682313876
66,sayat,38.7839,63.8803,80.47,13,35,16.26,TM,1682313659
67,san quintin,30.4833,-115.95,57.43,84,3,3.33,MX,1682313876
68,manaus,-3.1019,-60.025,79.29,89,40,4.61,BR,1682313876
69,bluff,-46.6,168.3333,52.81,62,97,23.96,NZ,1682313877
70,yellowknife,62.456,-114.3525,35.56,80,20,8.01,CA,1682313643
71,makungu,-8.7333,35.2833,65.39,98,100,2.44,TZ,1682313877
72,ilebo,-4.3167,20.5833,70.29,97,100,1.9,CD,1682313877
73,ulaangom,49.9811,92.0667,45.57,26,100,6.4,MN,1682313877
74,hofn,64.2539,-15.2082,32.23,48,29,6.42,IS,1682313878
75,yerbogachen,61.2767,108.0108,33.39,72,84,7.85,RU,1682313878
76,maryborough,-25.5333,152.7,78.12,49,25,15.19,AU,1682313878
77,muros,42.7762,-9.0603,60.67,93,98,8.25,ES,1682313879
78,husavik,66.0449,-17.3389,29.86,65,16,3.13,IS,1682313879
79,faanui,-16.4833,-151.75,81.48,77,79,8.43,PF,1682313879
80,barrow,71.2906,-156.7887,1.42,85,100,16.11,US,1682313880
81,falavarjan,32.5553,51.5097,65.41,40,41,1.74,IR,1682313880
82,sorland,67.667,12.6934,35.46,56,10,10.85,NO,1682313880
83,thompson,55.7435,-97.8558,26.76,63,20,2.3,CA,1682313880
84,impfondo,1.6381,18.0667,70.0,96,80,2.53,CG,1682313650
85,walvis bay,-22.9575,14.5053,65.35,88,75,6.91,NA,1682313881
86,bushehr,28.9684,50.8385,82.49,34,0,0.0,IR,1682313882
87,upernavik,72.7868,-56.1549,27.3,98,97,4.59,GL,1682313882
88,katsuura,35.1333,140.3,53.91,61,100,12.01,JP,1682313641
89,new norfolk,-42.7826,147.0587,67.91,40,1,5.01,AU,1682313882
90,luderitz,-26.6481,15.1594,61.5,62,100,7.81,NA,1682313614
